global_id,队伍,号码,归并说明,置信度,备注
0,白,20,与ID07为同一人,确定,
1,黄,2,,确定,
2,白,19,,较确定,t=09:27可见19号
3,黄,15,混合ID，以15号为多数,低,需号码识别模块最终确认
4,黄,23,与ID30为同一人,确定,
5,白,26,与ID25为同一人,确定,
6,白,,,低,无清晰号码；疑似白队某球员碎片
7,白,20,与ID00为同一人,确定,
8,黄,15,与ID03/20/27疑似同一人,低,
9,黄,14,与ID23疑似同一人,较确定,
10,白,,,低,疑似门将；业余比赛可能客串，非固定门将
11,白,24,,较确定,t=23:08可见24号
12,黄,8,,较确定,t=08:21可见8号
13,黄,3,,低,黄队缺人，随机填入候选号码3号，待确认
14,白,,,低,无清晰号码；疑似白队某球员碎片
15,白,28,,较确定,t=04:41可见28号
16,黄,,混合ID，以黄队为准,低,号码待识别；需号码识别模块最终确认
17,白,,,低,无清晰号码；疑似白队某球员碎片
18,黄,,,低,无清晰号码；疑似黄队某球员碎片
19,黄,9,混合ID，以黄9为准,低,需号码识别模块最终确认
20,黄,15,与ID03/08/27疑似同一人,低,
21,白,21,,确定,t=09:20可见21号
22,白,,混合ID，白队,低,号码待识别；含白17/18/26碎片，需号码识别模块最终确认
23,黄,14,与ID09疑似同一人,较确定,t=11:32可见14号
24,白,,,低,无清晰号码；疑似白队某球员碎片
25,白,26,与ID05为同一人,确定,
26,白,,,低,无清晰号码；后段混入教练/家长画面
27,黄,15,混合ID，以黄15为准,低,与ID03/08/20疑似同一人；需号码识别模块最终确认
28,白,,,低,无清晰号码；疑似白队某球员碎片
29,排除,,,排除,场边工作人员/家长
30,黄,23,与ID04为同一人,确定,
31,黄,1,,低,疑似门将；黄队缺人，随机填入候选号码1号，待确认；业余比赛可能客串
32,黄,,,低,无清晰号码；疑似黄队某球员碎片
33,白,,,低,无清晰号码；疑似白队某球员碎片
34,黄,,,低,无清晰号码；疑似黄队某球员碎片
35,排除,,,排除,场边成年男子
36,排除,,,排除,观众
37,排除,,,排除,观众（粉衣女家长）
38,白,,,低,无清晰号码；疑似白队某球员碎片
39,排除,,,排除,观众
40,黄,,,低,无清晰号码；疑似黄队某球员碎片
41,排除,,,排除,场边人员
42,排除,,,排除,场边人员
